year,msa,offense_category,count
2005.0,"Boston-Cambridge-Quincy, MA-NH M.S.A.",robbery,5174.0
2005.0,"Boston-Quincy, MA M.D.",aggravated_assault,6423.0
2005.0,"Boston-Quincy, MA M.D.",burglary,9007.0
2005.0,"Boston-Quincy, MA M.D.",forcible_rape,503.0
2005.0,"Boston-Quincy, MA M.D.",larceny_theft,30737.0
2005.0,"Boston-Quincy, MA M.D.",motor_vehicle_theft,7172.0
2005.0,"Boston-Quincy, MA M.D.",murder_and_nonnegligent_manslaughter,91.0
2005.0,"Boston-Quincy, MA M.D.",robbery,3446.0
2005.0,"Bowling Green, KY M.S.A.",aggravated_assault,205.0
2005.0,"Bowling Green, KY M.S.A.",burglary,755.0
2005.0,"Bowling Green, KY M.S.A.",forcible_rape,47.0
2005.0,"Bowling Green, KY M.S.A.",larceny_theft,2817.0
2005.0,"Bowling Green, KY M.S.A.",motor_vehicle_theft,199.0
2005.0,"Bowling Green, KY M.S.A.",murder_and_nonnegligent_manslaughter,3.0
2005.0,"Bowling Green, KY M.S.A.",robbery,90.0
2005.0,"Bremerton-Silverdale, WA M.S.A.",aggravated_assault,682.0
2005.0,"Bremerton-Silverdale, WA M.S.A.",burglary,1819.0
2005.0,"Bremerton-Silverdale, WA M.S.A.",forcible_rape,211.0
2005.0,"Bremerton-Silverdale, WA M.S.A.",larceny_theft,4572.0
2005.0,"Bremerton-Silverdale, WA M.S.A.",motor_vehicle_theft,586.0
2005.0,"Bremerton-Silverdale, WA M.S.A.",murder_and_nonnegligent_manslaughter,7.0
2005.0,"Bremerton-Silverdale, WA M.S.A.",robbery,119.0
2005.0,"Bridgeport-Stamford-Norwalk, CT M.S.A.1",aggravated_assault,1336.0
2005.0,"Bridgeport-Stamford-Norwalk, CT M.S.A.1",burglary,3397.0
2005.0,"Bridgeport-Stamford-Norwalk, CT M.S.A.1",forcible_rape,139.0
2005.0,"Bridgeport-Stamford-Norwalk, CT M.S.A.1",larceny_theft,13977.0
2005.0,"Bridgeport-Stamford-Norwalk, CT M.S.A.1",motor_vehicle_theft,2536.0
2005.0,"Bridgeport-Stamford-Norwalk, CT M.S.A.1",murder_and_nonnegligent_manslaughter,31.0
2005.0,"Bridgeport-Stamford-Norwalk, CT M.S.A.1",robbery,1034.0
2005.0,"Brownsville-Harlingen, TX M.S.A.",aggravated_assault,1396.0
2005.0,"Brownsville-Harlingen, TX M.S.A.",burglary,3741.0
2005.0,"Brownsville-Harlingen, TX M.S.A.",forcible_rape,143.0
2005.0,"Brownsville-Harlingen, TX M.S.A.",larceny_theft,14297.0
2005.0,"Brownsville-Harlingen, TX M.S.A.",motor_vehicle_theft,958.0
2005.0,"Brownsville-Harlingen, TX M.S.A.",murder_and_nonnegligent_manslaughter,13.0
2005.0,"Brownsville-Harlingen, TX M.S.A.",robbery,261.0
2005.0,"Brunswick, GA M.S.A.",aggravated_assault,545.0
2005.0,"Brunswick, GA M.S.A.",burglary,1042.0
2005.0,"Brunswick, GA M.S.A.",forcible_rape,36.0
2005.0,"Brunswick, GA M.S.A.",larceny_theft,3192.0
2005.0,"Brunswick, GA M.S.A.",motor_vehicle_theft,256.0
2005.0,"Brunswick, GA M.S.A.",murder_and_nonnegligent_manslaughter,3.0
2005.0,"Brunswick, GA M.S.A.",robbery,119.0
2005.0,"Buffalo-Niagara Falls, NY M.S.A.",aggravated_assault,3283.0
2005.0,"Buffalo-Niagara Falls, NY M.S.A.",burglary,7554.0
2005.0,"Buffalo-Niagara Falls, NY M.S.A.",forcible_rape,340.0
2005.0,"Buffalo-Niagara Falls, NY M.S.A.",larceny_theft,23926.0
2005.0,"Buffalo-Niagara Falls, NY M.S.A.",motor_vehicle_theft,3352.0
2005.0,"Buffalo-Niagara Falls, NY M.S.A.",murder_and_nonnegligent_manslaughter,66.0
2005.0,"Buffalo-Niagara Falls, NY M.S.A.",robbery,2273.0
2005.0,"Burlington, NC M.S.A.",aggravated_assault,538.0
2005.0,"Burlington, NC M.S.A.",burglary,1443.0
2005.0,"Burlington, NC M.S.A.",forcible_rape,29.0
2005.0,"Burlington, NC M.S.A.",larceny_theft,3805.0
2005.0,"Burlington, NC M.S.A.",motor_vehicle_theft,273.0
2005.0,"Burlington, NC M.S.A.",murder_and_nonnegligent_manslaughter,8.0
2005.0,"Burlington, NC M.S.A.",robbery,127.0
2005.0,"Cambridge-Newton-Framingham, MA M.D.",aggravated_assault,2235.0
2005.0,"Cambridge-Newton-Framingham, MA M.D.",burglary,6045.0
2005.0,"Cambridge-Newton-Framingham, MA M.D.",forcible_rape,206.0
2005.0,"Cambridge-Newton-Framingham, MA M.D.",larceny_theft,18583.0
2005.0,"Cambridge-Newton-Framingham, MA M.D.",motor_vehicle_theft,2848.0
2005.0,"Cambridge-Newton-Framingham, MA M.D.",murder_and_nonnegligent_manslaughter,13.0
2005.0,"Cambridge-Newton-Framingham, MA M.D.",robbery,1002.0
2005.0,"Camden, NJ M.D.",aggravated_assault,2500.0
2005.0,"Camden, NJ M.D.",burglary,6310.0
2005.0,"Camden, NJ M.D.",forcible_rape,261.0
2005.0,"Camden, NJ M.D.",larceny_theft,22149.0
2005.0,"Camden, NJ M.D.",motor_vehicle_theft,2796.0
2005.0,"Camden, NJ M.D.",murder_and_nonnegligent_manslaughter,48.0
2005.0,"Camden, NJ M.D.",robbery,1549.0
2005.0,"Cape Coral-Fort Myers, FL M.S.A.",aggravated_assault,1943.0
2005.0,"Cape Coral-Fort Myers, FL M.S.A.",burglary,4875.0
2005.0,"Cape Coral-Fort Myers, FL M.S.A.",forcible_rape,187.0
2005.0,"Cape Coral-Fort Myers, FL M.S.A.",larceny_theft,11341.0
2005.0,"Cape Coral-Fort Myers, FL M.S.A.",motor_vehicle_theft,2363.0
2005.0,"Cape Coral-Fort Myers, FL M.S.A.",murder_and_nonnegligent_manslaughter,33.0
2005.0,"Cape Coral-Fort Myers, FL M.S.A.",robbery,823.0
