year,month,day,category,count
2005,1,22,GRAND THEFT AUTO,73
2005,1,22,LARCENY THEFT,98
2005,1,22,LIQUOR LAWS,2
2005,1,22,MISDEMEANORS MISCELLANEOUS,8
2005,1,22,NARCOTICS,40
2005,1,22,NON-AGGRAVATED ASSAULTS,31
2005,1,22,OFFENSES AGAINST FAMILY,1
2005,1,22,RECEIVING STOLEN PROPERTY,1
2005,1,22,ROBBERY,13
2005,1,22,SEX OFFENSES FELONIES,2
2005,1,22,SEX OFFENSES MISDEMEANORS,3
2005,1,22,VAGRANCY,3
2005,1,22,VANDALISM,55
2005,1,22,VEHICLE / BOATING LAWS,66
2005,1,22,WEAPON LAWS,11
2005,1,23,AGGRAVATED ASSAULT,29
2005,1,23,ARSON,2
2005,1,23,BURGLARY,40
2005,1,23,CRIMINAL HOMICIDE,3
2005,1,23,DISORDERLY CONDUCT,5
2005,1,23,DRUNK / ALCOHOL / DRUGS,6
2005,1,23,DRUNK DRIVING VEHICLE / BOAT,9
2005,1,23,FEDERAL OFFENSES W/O MONEY,1
2005,1,23,FELONIES MISCELLANEOUS,13
2005,1,23,FORCIBLE RAPE,1
2005,1,23,FORGERY,7
2005,1,23,FRAUD AND NSF CHECKS,18
2005,1,23,GRAND THEFT AUTO,66
2005,1,23,LARCENY THEFT,98
2005,1,23,LIQUOR LAWS,1
2005,1,23,MISDEMEANORS MISCELLANEOUS,9
2005,1,23,NARCOTICS,43
2005,1,23,NON-AGGRAVATED ASSAULTS,34
2005,1,23,OFFENSES AGAINST FAMILY,1
2005,1,23,ROBBERY,25
2005,1,23,SEX OFFENSES FELONIES,2
2005,1,23,SEX OFFENSES MISDEMEANORS,1
2005,1,23,VANDALISM,46
2005,1,23,VEHICLE / BOATING LAWS,77
2005,1,23,WEAPON LAWS,3
2005,1,24,AGGRAVATED ASSAULT,24
2005,1,24,ARSON,4
2005,1,24,BURGLARY,28
2005,1,24,CRIMINAL HOMICIDE,1
2005,1,24,DISORDERLY CONDUCT,8
2005,1,24,DRUNK / ALCOHOL / DRUGS,9
2005,1,24,DRUNK DRIVING VEHICLE / BOAT,4
2005,1,24,FEDERAL OFFENSES WITH MONEY,1
2005,1,24,FELONIES MISCELLANEOUS,8
2005,1,24,FORCIBLE RAPE,2
2005,1,24,FORGERY,11
2005,1,24,FRAUD AND NSF CHECKS,21
2005,1,24,GRAND THEFT AUTO,51
2005,1,24,LARCENY THEFT,91
2005,1,24,MISDEMEANORS MISCELLANEOUS,10
2005,1,24,NARCOTICS,58
2005,1,24,NON-AGGRAVATED ASSAULTS,51
2005,1,24,ROBBERY,21
2005,1,24,SEX OFFENSES FELONIES,2
2005,1,24,SEX OFFENSES MISDEMEANORS,3
2005,1,24,VAGRANCY,1
2005,1,24,VANDALISM,42
2005,1,24,VEHICLE / BOATING LAWS,64
2005,1,24,WEAPON LAWS,13
2005,1,25,AGGRAVATED ASSAULT,23
2005,1,25,BURGLARY,57
2005,1,25,CRIMINAL HOMICIDE,1
2005,1,25,DISORDERLY CONDUCT,7
2005,1,25,DRUNK / ALCOHOL / DRUGS,5
2005,1,25,DRUNK DRIVING VEHICLE / BOAT,4
