year,month,day,UCR CRIME CATEGORY,count
2016,3,15,LARCENY-THEFT,96
2016,3,15,MOTOR VEHICLE THEFT,16
2016,3,15,RAPE,4
2016,3,15,ROBBERY,2
2016,3,16,AGGRAVATED ASSAULT,11
2016,3,16,BURGLARY,33
2016,3,16,DRUG OFFENSE,23
2016,3,16,LARCENY-THEFT,88
2016,3,16,MOTOR VEHICLE THEFT,21
2016,3,16,ROBBERY,6
2016,3,17,AGGRAVATED ASSAULT,14
2016,3,17,BURGLARY,28
2016,3,17,DRUG OFFENSE,15
2016,3,17,LARCENY-THEFT,102
2016,3,17,MOTOR VEHICLE THEFT,17
2016,3,17,RAPE,3
2016,3,17,ROBBERY,8
2016,3,18,AGGRAVATED ASSAULT,14
2016,3,18,ARSON,1
2016,3,18,BURGLARY,28
2016,3,18,DRUG OFFENSE,6
2016,3,18,LARCENY-THEFT,82
2016,3,18,MOTOR VEHICLE THEFT,15
2016,3,18,RAPE,3
2016,3,18,ROBBERY,5
2016,3,19,AGGRAVATED ASSAULT,11
2016,3,19,BURGLARY,16
2016,3,19,DRUG OFFENSE,10
2016,3,19,LARCENY-THEFT,83
2016,3,19,MOTOR VEHICLE THEFT,18
2016,3,19,RAPE,4
2016,3,19,ROBBERY,10
2016,3,20,AGGRAVATED ASSAULT,19
2016,3,20,BURGLARY,18
2016,3,20,DRUG OFFENSE,6
2016,3,20,LARCENY-THEFT,70
2016,3,20,MOTOR VEHICLE THEFT,14
2016,3,20,RAPE,2
2016,3,20,ROBBERY,8
2016,3,21,AGGRAVATED ASSAULT,19
2016,3,21,BURGLARY,31
2016,3,21,DRUG OFFENSE,7
2016,3,21,LARCENY-THEFT,57
2016,3,21,MOTOR VEHICLE THEFT,22
2016,3,21,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2
2016,3,21,RAPE,1
2016,3,21,ROBBERY,6
2016,3,22,AGGRAVATED ASSAULT,3
2016,3,22,ARSON,3
2016,3,22,BURGLARY,46
2016,3,22,DRUG OFFENSE,11
2016,3,22,LARCENY-THEFT,84
2016,3,22,MOTOR VEHICLE THEFT,22
2016,3,22,MURDER AND NON-NEGLIGENT MANSLAUGHTER,1
2016,3,22,RAPE,3
2016,3,22,ROBBERY,3
2016,3,23,AGGRAVATED ASSAULT,8
2016,3,23,BURGLARY,28
2016,3,23,DRUG OFFENSE,24
2016,3,23,LARCENY-THEFT,107
2016,3,23,MOTOR VEHICLE THEFT,23
2016,3,23,RAPE,4
2016,3,23,ROBBERY,8
2016,3,24,AGGRAVATED ASSAULT,10
2016,3,24,BURGLARY,33
2016,3,24,DRUG OFFENSE,16
2016,3,24,LARCENY-THEFT,97
2016,3,24,MOTOR VEHICLE THEFT,18
2016,3,24,RAPE,1
2016,3,24,ROBBERY,6
2016,3,25,AGGRAVATED ASSAULT,15
2016,3,25,ARSON,1
2016,3,25,BURGLARY,28
2016,3,25,DRUG OFFENSE,20
2016,3,25,LARCENY-THEFT,97
2016,3,25,MOTOR VEHICLE THEFT,16
2016,3,25,RAPE,1
2016,3,25,ROBBERY,8
2016,3,26,AGGRAVATED ASSAULT,12
2016,3,26,ARSON,1
2016,3,26,BURGLARY,20
2016,3,26,DRUG OFFENSE,8
2016,3,26,LARCENY-THEFT,80
2016,3,26,MOTOR VEHICLE THEFT,20
2016,3,26,MURDER AND NON-NEGLIGENT MANSLAUGHTER,1
2016,3,26,RAPE,2
2016,3,26,ROBBERY,9
2016,3,27,AGGRAVATED ASSAULT,13
2016,3,27,ARSON,1
2016,3,27,BURGLARY,24
2016,3,27,DRUG OFFENSE,5
2016,3,27,LARCENY-THEFT,56
2016,3,27,MOTOR VEHICLE THEFT,20
2016,3,27,MURDER AND NON-NEGLIGENT MANSLAUGHTER,1
2016,3,27,RAPE,5
2016,3,27,ROBBERY,5
2016,3,28,AGGRAVATED ASSAULT,6
2016,3,28,ARSON,1
2016,3,28,BURGLARY,29
2016,3,28,DRUG OFFENSE,12
2016,3,28,LARCENY-THEFT,89
2016,3,28,MOTOR VEHICLE THEFT,29
2016,3,28,RAPE,1
2016,3,28,ROBBERY,5
2016,3,29,AGGRAVATED ASSAULT,10
2016,3,29,BURGLARY,33
2016,3,29,DRUG OFFENSE,19
2016,3,29,LARCENY-THEFT,77
2016,3,29,MOTOR VEHICLE THEFT,20
2016,3,29,RAPE,2
2016,3,29,ROBBERY,9
2016,3,30,AGGRAVATED ASSAULT,10
2016,3,30,BURGLARY,29
2016,3,30,DRUG OFFENSE,18
2016,3,30,LARCENY-THEFT,89
2016,3,30,MOTOR VEHICLE THEFT,17
2016,3,30,RAPE,1
2016,3,30,ROBBERY,4
2016,3,31,AGGRAVATED ASSAULT,12
2016,3,31,BURGLARY,28
2016,3,31,DRUG OFFENSE,6
2016,3,31,LARCENY-THEFT,88
2016,3,31,MOTOR VEHICLE THEFT,11
2016,3,31,RAPE,1
2016,3,31,ROBBERY,4
2016,4,1,AGGRAVATED ASSAULT,12
2016,4,1,BURGLARY,38
2016,4,1,DRUG OFFENSE,17
2016,4,1,LARCENY-THEFT,102
2016,4,1,MOTOR VEHICLE THEFT,21
2016,4,1,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2
2016,4,1,RAPE,4
2016,4,1,ROBBERY,9
2016,4,2,AGGRAVATED ASSAULT,14
2016,4,2,BURGLARY,26
2016,4,2,DRUG OFFENSE,9
2016,4,2,LARCENY-THEFT,95
2016,4,2,MOTOR VEHICLE THEFT,23
2016,4,2,RAPE,1
2016,4,2,ROBBERY,8
2016,4,3,AGGRAVATED ASSAULT,7
