year,month,day,OFFENSE,count
2008,3,10,BURGLARY,15
2008,3,10,HOMICIDE,1
2008,3,10,MOTOR VEHICLE THEFT,9
2008,3,10,ROBBERY,10
2008,3,10,THEFT/OTHER,48
2008,3,11,ARSON,1
2008,3,11,ASSAULT W/DANGEROUS WEAPON,7
2008,3,11,BURGLARY,14
2008,3,11,MOTOR VEHICLE THEFT,8
2008,3,11,ROBBERY,9
2008,3,11,SEX ABUSE,1
2008,3,11,THEFT/OTHER,47
2008,3,12,ARSON,2
2008,3,12,ASSAULT W/DANGEROUS WEAPON,8
2008,3,12,BURGLARY,12
2008,3,12,HOMICIDE,1
2008,3,12,MOTOR VEHICLE THEFT,11
2008,3,12,ROBBERY,8
2008,3,12,SEX ABUSE,2
2008,3,12,THEFT/OTHER,33
2008,3,13,ARSON,1
2008,3,13,ASSAULT W/DANGEROUS WEAPON,4
2008,3,13,BURGLARY,13
2008,3,13,MOTOR VEHICLE THEFT,10
2008,3,13,ROBBERY,7
2008,3,13,THEFT/OTHER,32
2008,3,14,ASSAULT W/DANGEROUS WEAPON,8
2008,3,14,BURGLARY,9
2008,3,14,MOTOR VEHICLE THEFT,13
2008,3,14,ROBBERY,12
2008,3,14,SEX ABUSE,1
2008,3,14,THEFT/OTHER,32
2008,3,15,ASSAULT W/DANGEROUS WEAPON,11
2008,3,15,BURGLARY,8
2008,3,15,MOTOR VEHICLE THEFT,12
2008,3,15,ROBBERY,10
2008,3,15,THEFT/OTHER,38
2008,3,16,ASSAULT W/DANGEROUS WEAPON,8
2008,3,16,BURGLARY,4
2008,3,16,HOMICIDE,2
2008,3,16,MOTOR VEHICLE THEFT,18
2008,3,16,ROBBERY,9
2008,3,16,THEFT/OTHER,33
2008,3,17,ASSAULT W/DANGEROUS WEAPON,8
2008,3,17,BURGLARY,15
2008,3,17,MOTOR VEHICLE THEFT,16
2008,3,17,ROBBERY,11
2008,3,17,THEFT/OTHER,52
2008,3,18,ASSAULT W/DANGEROUS WEAPON,6
2008,3,18,BURGLARY,12
2008,3,18,MOTOR VEHICLE THEFT,9
2008,3,18,ROBBERY,9
2008,3,18,SEX ABUSE,1
2008,3,18,THEFT/OTHER,62
2008,3,19,ASSAULT W/DANGEROUS WEAPON,4
2008,3,19,BURGLARY,11
2008,3,19,MOTOR VEHICLE THEFT,11
2008,3,19,ROBBERY,6
2008,3,19,THEFT/OTHER,38
2008,3,20,ASSAULT W/DANGEROUS WEAPON,5
2008,3,20,BURGLARY,13
2008,3,20,MOTOR VEHICLE THEFT,10
2008,3,20,ROBBERY,8
2008,3,20,THEFT/OTHER,34
2008,3,21,ASSAULT W/DANGEROUS WEAPON,12
2008,3,21,BURGLARY,11
2008,3,21,MOTOR VEHICLE THEFT,19
2008,3,21,ROBBERY,9
2008,3,21,THEFT/OTHER,32
2008,3,22,ASSAULT W/DANGEROUS WEAPON,13
2008,3,22,BURGLARY,6
2008,3,22,HOMICIDE,1
2008,3,22,MOTOR VEHICLE THEFT,20
2008,3,22,ROBBERY,8
2008,3,22,THEFT/OTHER,40
2008,3,23,ASSAULT W/DANGEROUS WEAPON,9
2008,3,23,BURGLARY,14
2008,3,23,MOTOR VEHICLE THEFT,11
2008,3,23,ROBBERY,9
2008,3,23,THEFT/OTHER,35
2008,3,24,ASSAULT W/DANGEROUS WEAPON,7
2008,3,24,BURGLARY,18
2008,3,24,HOMICIDE,1
2008,3,24,MOTOR VEHICLE THEFT,15
2008,3,24,ROBBERY,15
2008,3,24,THEFT/OTHER,39
2008,3,25,ASSAULT W/DANGEROUS WEAPON,6
2008,3,25,BURGLARY,9
2008,3,25,MOTOR VEHICLE THEFT,11
2008,3,25,ROBBERY,6
2008,3,25,SEX ABUSE,2
2008,3,25,THEFT/OTHER,46
2008,3,26,ASSAULT W/DANGEROUS WEAPON,11
2008,3,26,BURGLARY,12
2008,3,26,MOTOR VEHICLE THEFT,12
2008,3,26,ROBBERY,14
2008,3,26,SEX ABUSE,2
2008,3,26,THEFT/OTHER,39
2008,3,27,ASSAULT W/DANGEROUS WEAPON,7
2008,3,27,BURGLARY,13
2008,3,27,MOTOR VEHICLE THEFT,9
2008,3,27,ROBBERY,10
2008,3,27,THEFT/OTHER,36
2008,3,28,ASSAULT W/DANGEROUS WEAPON,11
2008,3,28,BURGLARY,9
2008,3,28,MOTOR VEHICLE THEFT,23
2008,3,28,ROBBERY,11
2008,3,28,THEFT/OTHER,32
2008,3,29,ASSAULT W/DANGEROUS WEAPON,5
2008,3,29,BURGLARY,5
2008,3,29,HOMICIDE,1
2008,3,29,MOTOR VEHICLE THEFT,20
2008,3,29,ROBBERY,13
2008,3,29,THEFT/OTHER,30
2008,3,30,ARSON,1
2008,3,30,ASSAULT W/DANGEROUS WEAPON,8
2008,3,30,BURGLARY,8
2008,3,30,HOMICIDE,1
