,year,month,day,category,count
432,2017,1,31,weapon-related crime,1
433,2017,1,4,assault,11
434,2017,1,4,battery,13
435,2017,1,4,burglary,63
436,2017,1,4,child-related crimes,5
437,2017,1,4,disorderly conduct,7
438,2017,1,4,driving under the influence,5
439,2017,1,4,drug possession,37
440,2017,1,4,drunk in public,10
441,2017,1,4,fraud,2
442,2017,1,4,illegal conceal or carry of weapon,6
443,2017,1,4,"illegal sales, manufacture, or transport",3
444,2017,1,4,motor vehicle theft,35
445,2017,1,4,other,36
446,2017,1,4,"sex crimes, not child-related",2
447,2017,1,4,theft,63
448,2017,1,4,vandalism,31
449,2017,1,4,weapon-related crime,1
450,2017,1,5,assault,7
451,2017,1,5,battery,12
452,2017,1,5,burglary,48
453,2017,1,5,child-related crimes,3
454,2017,1,5,disorderly conduct,3
455,2017,1,5,driving under the influence,8
456,2017,1,5,drug possession,47
457,2017,1,5,drunk in public,11
458,2017,1,5,fraud,4
459,2017,1,5,illegal conceal or carry of weapon,1
460,2017,1,5,"illegal sales, manufacture, or transport",2
461,2017,1,5,motor vehicle theft,55
462,2017,1,5,other,33
463,2017,1,5,"sex crimes, not child-related",2
464,2017,1,5,theft,59
465,2017,1,5,vandalism,23
466,2017,1,5,weapon-related crime,2
467,2017,1,6,assault,10
468,2017,1,6,battery,19
469,2017,1,6,burglary,41
470,2017,1,6,child-related crimes,2
471,2017,1,6,disorderly conduct,10
472,2017,1,6,driving under the influence,10
473,2017,1,6,drug possession,58
474,2017,1,6,drunk in public,9
475,2017,1,6,fraud,5
476,2017,1,6,illegal conceal or carry of weapon,7
477,2017,1,6,"illegal sales, manufacture, or transport",4
478,2017,1,6,motor vehicle theft,41
479,2017,1,6,other,36
480,2017,1,6,"sex crimes, not child-related",1
481,2017,1,6,theft,64
482,2017,1,6,vandalism,33
483,2017,1,6,weapon-related crime,3
484,2017,1,7,assault,8
485,2017,1,7,attempted murder,1
486,2017,1,7,battery,16
487,2017,1,7,burglary,30
488,2017,1,7,child-related crimes,1
489,2017,1,7,disorderly conduct,8
490,2017,1,7,driving under the influence,15
491,2017,1,7,drug possession,46
492,2017,1,7,drunk in public,18
493,2017,1,7,fraud,2
494,2017,1,7,illegal conceal or carry of weapon,5
495,2017,1,7,"illegal sales, manufacture, or transport",1
496,2017,1,7,motor vehicle theft,36
497,2017,1,7,murder,1
498,2017,1,7,other,37
499,2017,1,7,"sex crimes, not child-related",4
500,2017,1,7,theft,67
501,2017,1,7,vandalism,24
502,2017,1,7,weapon-related crime,1
503,2017,1,8,assault,10
504,2017,1,8,attempted murder,1
505,2017,1,8,battery,24
506,2017,1,8,burglary,43
507,2017,1,8,child-related crimes,3
508,2017,1,8,disorderly conduct,5
509,2017,1,8,driving under the influence,13
510,2017,1,8,drug possession,35
511,2017,1,8,drunk in public,27
512,2017,1,8,fraud,5
513,2017,1,8,illegal conceal or carry of weapon,2
514,2017,1,8,"illegal sales, manufacture, or transport",4
515,2017,1,8,motor vehicle theft,43
516,2017,1,8,murder,1
517,2017,1,8,other,19
518,2017,1,8,"sex crimes, not child-related",1
519,2017,1,8,theft,53
520,2017,1,8,vandalism,24
521,2017,1,9,arson,3
522,2017,1,9,assault,12
523,2017,1,9,battery,19
524,2017,1,9,burglary,53
525,2017,1,9,child-related crimes,2
526,2017,1,9,disorderly conduct,4
527,2017,1,9,driving under the influence,5
528,2017,1,9,drug possession,25
529,2017,1,9,drunk in public,14
530,2017,1,9,fraud,4
531,2017,1,9,illegal conceal or carry of weapon,4
532,2017,1,9,"illegal sales, manufacture, or transport",4
533,2017,1,9,motor vehicle theft,52
534,2017,1,9,other,39
535,2017,1,9,"sex crimes, not child-related",2
536,2017,1,9,theft,75
537,2017,1,9,vandalism,17
538,2017,1,9,weapon-related crime,3
539,2017,2,1,arson,1
540,2017,2,1,assault,2
541,2017,2,1,battery,25
